Date,Véhicule,Immatriculation,Type,Distance Jour (km),Carburant Jour (L),Arrêts Totaux,Excès Vitesse,Freinages Brusques,Score Moyen,Nb Trajets,Conso Jour (L/100km)
2025-12-06,SOC-001,DK-2701-OW,Chariot Élévateur,309.42,54.01,5,0,0,65.0,3,17.46
2025-12-06,SOC-002,DK-4406-ZL,Véhicule Léger,103.95,9.07,3,1,0,97.0,2,8.73
2025-12-06,SOC-005,DK-6497-PB,Véhicule Léger,489.68,45.28,11,1,11,77.0,5,9.25
2025-12-06,SOC-006,DK-2604-SY,Chariot Élévateur,257.93,45.36,3,9,9,89.0,4,17.59
2025-12-06,SOC-007,DK-8504-WU,Camion Ciment,247.33,73.31,10,0,0,76.0,3,29.64
2025-12-06,SOC-008,DK-8462-JA,Véhicule Léger,206.75,20.49,11,5,14,88.0,4,9.91
2025-12-06,SOC-010,DK-3338-CE,Chariot Élévateur,285.46,47.44,5,0,6,91.0,4,16.62
2025-12-06,SOC-013,DK-8777-SQ,Chariot Élévateur,100.62,15.79,2,0,0,64.0,1,15.69
2025-12-06,SOC-015,DK-3180-MJ,Camion Benne,295.07,98.68,5,0,3,91.0,4,33.44
2025-12-07,SOC-002,DK-4406-ZL,Véhicule Léger,404.15,39.01,4,4,5,71.0,4,9.65
2025-12-07,SOC-003,DK-5264-JU,Camion Ciment,283.36,82.5,10,5,6,77.0,5,29.11
2025-12-07,SOC-005,DK-6497-PB,Véhicule Léger,298.46,27.25,13,7,19,85.0,4,9.13
2025-12-07,SOC-006,DK-2604-SY,Chariot Élévateur,554.4,94.72,17,1,2,89.0,5,17.09
2025-12-07,SOC-007,DK-8504-WU,Camion Ciment,209.04,68.96,18,5,11,80.0,5,32.99
2025-12-07,SOC-009,DK-9129-DE,Camion Benne,167.84,54.79,4,0,1,70.0,2,32.64
2025-12-07,SOC-010,DK-3338-CE,Chariot Élévateur,257.27,41.91,10,3,15,70.0,4,16.29
2025-12-07,SOC-011,DK-7433-NO,Véhicule Léger,70.0,7.56,3,0,0,96.0,1,10.8
2025-12-07,SOC-012,DK-3068-NW,Camion Benne,238.43,77.51,6,0,2,66.0,2,32.51
2025-12-07,SOC-013,DK-8777-SQ,Chariot Élévateur,324.08,57.57,8,4,5,73.0,4,17.76
2025-12-07,SOC-014,DK-6710-OT,Camion Benne,279.52,85.3,10,1,0,77.0,4,30.52
2025-12-07,SOC-015,DK-3180-MJ,Camion Benne,358.51,108.41,17,0,1,75.0,5,30.24
2025-12-08,SOC-001,DK-2701-OW,Chariot Élévateur,140.47,25.72,3,2,0,69.0,2,18.31
2025-12-08,SOC-002,DK-4406-ZL,Véhicule Léger,99.22,9.6,2,3,0,71.0,1,9.68
2025-12-08,SOC-003,DK-5264-JU,Camion Ciment,147.02,47.72,2,8,7,94.0,2,32.46
2025-12-08,SOC-005,DK-6497-PB,Véhicule Léger,130.54,12.53,12,6,4,84.0,5,9.6
2025-12-08,SOC-007,DK-8504-WU,Camion Ciment,313.03,102.25,10,1,3,88.0,4,32.66
2025-12-08,SOC-008,DK-8462-JA,Véhicule Léger,515.87,51.03,22,2,13,70.0,5,9.89
2025-12-08,SOC-009,DK-9129-DE,Camion Benne,279.2,78.38,7,9,8,78.0,4,28.07
2025-12-08,SOC-010,DK-3338-CE,Chariot Élévateur,509.17,91.76,12,4,11,84.0,5,18.02
2025-12-08,SOC-011,DK-7433-NO,Véhicule Léger,190.74,16.78,7,3,9,82.0,3,8.8
2025-12-08,SOC-013,DK-8777-SQ,Chariot Élévateur,80.59,15.97,0,1,2,74.0,1,19.82
2025-12-08,SOC-015,DK-3180-MJ,Camion Benne,220.78,68.41,4,0,1,79.0,2,30.99
2025-12-09,SOC-001,DK-2701-OW,Chariot Élévateur,41.66,7.58,1,0,0,95.0,1,18.19
